dataset_name,subfolder,system_scope,quality_level,recency_level,unit_level,geo_level,zero_level,record_count,species_count,country_count,avg_n_obs,avg_continuity,avg_zero_share,file_path
lpd_all_loose_last2010_unitsall_global_zeroskeep,broad_exploration,all_systems,loose,last2010plus,units_all,global,zeros_keep,8278,1556,85,24.614882821937666,0.9663066866463488,0.2760061982295213,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\broad_exploration\lpd_all_loose_last2010_unitsall_global_zeroskeep.csv
lpd_terrestrial_loose_last2010_unitsall_global_zeroskeep,broad_exploration,terrestrial_only,loose,last2010plus,units_all,global,zeros_keep,2809,618,55,32.25347098611606,0.976012968364942,0.08468806020735131,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\broad_exploration\lpd_terrestrial_loose_last2010_unitsall_global_zeroskeep.csv
lpd_all_balanced_last2015_unitsusable_global_zeroskeep,balanced_forecasting,all_systems,balanced,last2015plus,units_usable,global,zeros_keep,1524,179,26,23.613517060367453,0.9584782023637739,0.4245504582248063,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\balanced_forecasting\lpd_all_balanced_last2015_unitsusable_global_zeroskeep.csv
lpd_terrestrial_loose_last2015_unitsall_global_zeroskeep_risk,risk_decline,terrestrial_only,loose,last2015plus,units_all,global,zeros_keep,1093,319,40,20.88106129917658,0.951438985937466,0.20983051886700335,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\risk_decline\lpd_terrestrial_loose_last2015_unitsall_global_zeroskeep_risk.csv
lpd_terrestrial_balanced_last2015_unitsusable_global_zeroskeep_risk,risk_decline,terrestrial_only,balanced,last2015plus,units_usable,global,zeros_keep,366,44,17,21.2103825136612,0.9828995442262511,0.35146243837305774,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\risk_decline\lpd_terrestrial_balanced_last2015_unitsusable_global_zeroskeep_risk.csv
lpd_terrestrial_balanced_last2015_unitsusable_global_zeroskeep,balanced_forecasting,terrestrial_only,balanced,last2015plus,units_usable,global,zeros_keep,366,44,17,21.2103825136612,0.9828995442262511,0.35146243837305774,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\balanced_forecasting\lpd_terrestrial_balanced_last2015_unitsusable_global_zeroskeep.csv
lpd_terrestrial_balanced_last2015_unitsusable_strongcountries_zeroskeep,geographic_subsets,terrestrial_only,balanced,last2015plus,units_usable,strongcountries,zeros_keep,362,41,13,21.204419889502763,0.9828730848514355,0.35534600122800863,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\geographic_subsets\lpd_terrestrial_balanced_last2015_unitsusable_strongcountries_zeroskeep.csv
lpd_terrestrial_balanced_last2015_unitsusable_top10countries_zeroskeep,geographic_subsets,terrestrial_only,balanced,last2015plus,units_usable,top10countries,zeros_keep,252,30,7,22.76984126984127,0.9840187861925187,0.5104573509703935,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\geographic_subsets\lpd_terrestrial_balanced_last2015_unitsusable_top10countries_zeroskeep.csv
lpd_terrestrial_strict_last2020_unitsusable_global_zeroskeep,strict_forecasting,terrestrial_only,strict,last2020,units_usable,global,zeros_keep,49,8,5,27.53061224489796,0.9859213044370493,0.23170118809818543,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\strict_forecasting\lpd_terrestrial_strict_last2020_unitsusable_global_zeroskeep.csv
lpd_terrestrial_strict_last2020_unitsdirect_global_zeros_not_heavy,strict_forecasting,terrestrial_only,strict,last2020,units_direct_only,global,zeros_not_heavy,34,8,5,28.08823529411765,0.986999571601321,0.09375180093213628,c:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\data\interim\strict_forecasting\lpd_terrestrial_strict_last2020_unitsdirect_global_zeros_not_heavy.csv
