entity_type,entity_id,name,country,n_data_points,year_min,year_max,json_path
species_country,Lichenostomus_melanops__australia,Helmeted Honeyeater,australia,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Lichenostomus_melanops__australia.json
species_country,Gymnobelideus_leadbeateri__australia,Leadbeater's Possum,australia,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Gymnobelideus_leadbeateri__australia.json
species_country,Leipoa_ocellata__australia,Malleefowl,australia,31,1990,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Leipoa_ocellata__australia.json
species_country,Alces_americanus__canada,Moose,canada,36,1981,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Alces_americanus__canada.json
species_country,Burramys_parvus__australia,Mountain Pygmy-possum,australia,39,1982,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Burramys_parvus__australia.json
species_country,Pedionomus_torquatus__australia,Plains-wanderer,australia,20,2001,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Pedionomus_torquatus__australia.json
species_country,Gulo_gulo__finland,Wolverine,finland,32,1989,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Gulo_gulo__finland.json
species_country,Gulo_gulo__norway,Wolverine,norway,23,1998,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Gulo_gulo__norway.json
species_country,Gulo_gulo__sweden,Wolverine,sweden,23,1998,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Gulo_gulo__sweden.json
species_country,Petrogale_xanthopus__australia,Yellow-footed Rock-wallaby,australia,40,1980,2020,C:\Users\Vaccari\Desktop\iCloudDrive\Desktop\ENRICO\05_LEARNING\University\ToU\Phases\03_Elevation_Phase\02_Challenge\animal-diversity-prediction\outputs\ui_driver_exports\species_country_reports\species_country_Petrogale_xanthopus__australia.json
